###
# Charged Particle in Vertical Electric Field 
#-------- Runtime parameters ----#
# Solver used : explicit rk4
# Time step : 0.000100
#--------------------------------#
#    t      	     x      	     y      	     z      	     u      	     v      	     w      
###
7.450000e-01	-1.620811e+00	-6.941062e+00	1.384309e+00	-1.438115e+01	9.492267e+00	1.723138e+00
7.500000e-01	-1.692080e+00	-6.892731e+00	1.392920e+00	-1.412524e+01	9.838948e+00	1.721416e+00
7.550000e-01	-1.762049e+00	-6.842684e+00	1.401523e+00	-1.386101e+01	1.017878e+01	1.719695e+00
7.600000e-01	-1.830677e+00	-6.790955e+00	1.410117e+00	-1.358864e+01	1.051158e+01	1.717977e+00
7.650000e-01	-1.897922e+00	-6.737580e+00	1.418703e+00	-1.330832e+01	1.083713e+01	1.716259e+00
7.700000e-01	-1.963747e+00	-6.682596e+00	1.427280e+00	-1.302023e+01	1.115525e+01	1.714544e+00
7.750000e-01	-2.028112e+00	-6.626040e+00	1.435848e+00	-1.272458e+01	1.146577e+01	1.712830e+00
7.800000e-01	-2.090981e+00	-6.567951e+00	1.444408e+00	-1.242156e+01	1.176849e+01	1.711118e+00
7.850000e-01	-2.152316e+00	-6.508369e+00	1.452959e+00	-1.211138e+01	1.206325e+01	1.709408e+00
7.900000e-01	-2.212083e+00	-6.447332e+00	1.461502e+00	-1.179425e+01	1.234988e+01	1.707700e+00
7.950000e-01	-2.270247e+00	-6.384884e+00	1.470036e+00	-1.147037e+01	1.262821e+01	1.705993e+00
8.000000e-01	-2.326776e+00	-6.321064e+00	1.478562e+00	-1.113997e+01	1.289809e+01	1.704288e+00
8.050000e-01	-2.381636e+00	-6.255917e+00	1.487079e+00	-1.080326e+01	1.315936e+01	1.702584e+00
8.100000e-01	-2.434798e+00	-6.189485e+00	1.495588e+00	-1.046047e+01	1.341189e+01	1.700882e+00
8.150000e-01	-2.486231e+00	-6.121813e+00	1.504088e+00	-1.011182e+01	1.365552e+01	1.699182e+00
8.200000e-01	-2.535907e+00	-6.052945e+00	1.512580e+00	-9.757545e+00	1.389012e+01	1.697484e+00
8.250000e-01	-2.583798e+00	-5.982927e+00	1.521063e+00	-9.397876e+00	1.411557e+01	1.695787e+00
8.300000e-01	-2.629877e+00	-5.911805e+00	1.529538e+00	-9.033049e+00	1.433175e+01	1.694092e+00
8.350000e-01	-2.674120e+00	-5.839625e+00	1.538004e+00	-8.663303e+00	1.453852e+01	1.692399e+00
8.400000e-01	-2.716502e+00	-5.766436e+00	1.546462e+00	-8.288877e+00	1.473580e+01	1.690708e+00
8.450000e-01	-2.757001e+00	-5.692283e+00	1.554911e+00	-7.910017e+00	1.492346e+01	1.689018e+00
8.500000e-01	-2.795595e+00	-5.617217e+00	1.563352e+00	-7.526966e+00	1.510142e+01	1.687330e+00
8.550000e-01	-2.832264e+00	-5.541285e+00	1.571784e+00	-7.139975e+00	1.526958e+01	1.685643e+00
8.600000e-01	-2.866989e+00	-5.464538e+00	1.580208e+00	-6.749291e+00	1.542785e+01	1.683958e+00
8.650000e-01	-2.899752e+00	-5.387024e+00	1.588624e+00	-6.355168e+00	1.557616e+01	1.682275e+00
8.700000e-01	-2.930535e+00	-5.308793e+00	1.597031e+00	-5.957857e+00	1.571444e+01	1.680594e+00
8.750000e-01	-2.959325e+00	-5.229896e+00	1.605430e+00	-5.557615e+00	1.584261e+01	1.678914e+00
8.800000e-01	-2.986107e+00	-5.150384e+00	1.613820e+00	-5.154697e+00	1.596061e+01	1.677236e+00
8.850000e-01	-3.010868e+00	-5.070307e+00	1.622202e+00	-4.749361e+00	1.606840e+01	1.675560e+00
8.900000e-01	-3.033597e+00	-4.989717e+00	1.630576e+00	-4.341865e+00	1.616593e+01	1.673885e+00
8.950000e-01	-3.054284e+00	-4.908665e+00	1.638941e+00	-3.932468e+00	1.625315e+01	1.672212e+00
9.000000e-01	-3.072919e+00	-4.827203e+00	1.647298e+00	-3.521429e+00	1.633004e+01	1.670540e+00
9.050000e-01	-3.089496e+00	-4.745382e+00	1.655646e+00	-3.109010e+00	1.639655e+01	1.668871e+00
9.100000e-01	-3.104007e+00	-4.663254e+00	1.663987e+00	-2.695470e+00	1.645269e+01	1.667203e+00
9.150000e-01	-3.116449e+00	-4.580872e+00	1.672318e+00	-2.281071e+00	1.649842e+01	1.665536e+00
9.200000e-01	-3.126817e+00	-4.498287e+00	1.680642e+00	-1.866074e+00	1.653374e+01	1.663872e+00
9.250000e-01	-3.135109e+00	-4.415552e+00	1.688957e+00	-1.450739e+00	1.655866e+01	1.662209e+00
9.300000e-01	-3.141324e+00	-4.332718e+00	1.697264e+00	-1.035327e+00	1.657316e+01	1.660547e+00
9.350000e-01	-3.145463e+00	-4.249838e+00	1.705563e+00	-6.200966e-01	1.657728e+01	1.658887e+00
9.400000e-01	-3.147526e+00	-4.166963e+00	1.713853e+00	-2.053086e-01	1.657102e+01	1.657229e+00
9.450000e-01	-3.147517e+00	-4.084145e+00	1.722135e+00	2.087791e-01	1.655441e+01	1.655573e+00
9.500000e-01	-3.145440e+00	-4.001436e+00	1.730409e+00	6.219089e-01	1.652749e+01	1.653918e+00
9.550000e-01	-3.141300e+00	-3.918887e+00	1.738674e+00	1.033824e+00	1.649028e+01	1.652265e+00
9.600000e-01	-3.135104e+00	-3.836550e+00	1.746931e+00	1.444270e+00	1.644283e+01	1.650614e+00
9.650000e-01	-3.126860e+00	-3.754476e+00	1.755180e+00	1.852993e+00	1.638520e+01	1.648964e+00
9.700000e-01	-3.116577e+00	-3.672715e+00	1.763421e+00	2.259740e+00	1.631743e+01	1.647316e+00
9.750000e-01	-3.104266e+00	-3.591318e+00	1.771653e+00	2.664262e+00	1.623960e+01	1.645669e+00
9.800000e-01	-3.089939e+00	-3.510336e+00	1.779878e+00	3.066309e+00	1.615176e+01	1.644024e+00
9.850000e-01	-3.073608e+00	-3.429817e+00	1.788094e+00	3.465635e+00	1.605400e+01	1.642381e+00
9.900000e-01	-3.055287e+00	-3.349812e+00	1.796301e+00	3.861997e+00	1.594640e+01	1.640740e+00
9.950000e-01	-3.034993e+00	-3.270369e+00	1.804501e+00	4.255151e+00	1.582904e+01	1.639100e+00
1.000000e+00	-3.012742e+00	-3.191538e+00	1.812692e+00	4.644859e+00	1.570202e+01	1.637462e+00
1.005000e+00	-2.988551e+00	-3.113365e+00	1.820876e+00	5.030884e+00	1.556543e+01	1.635825e+00
1.010000e+00	-2.962439e+00	-3.035899e+00	1.829051e+00	5.412991e+00	1.541938e+01	1.634190e+00
1.015000e+00	-2.934428e+00	-2.959187e+00	1.837218e+00	5.790950e+00	1.526398e+01	1.632556e+00
1.020000e+00	-2.904537e+00	-2.883275e+00	1.845376e+00	6.164533e+00	1.509934e+01	1.630925e+00
1.025000e+00	-2.872790e+00	-2.808209e+00	1.853527e+00	6.533514e+00	1.492559e+01	1.629295e+00
1.030000e+00	-2.839210e+00	-2.734034e+00	1.861669e+00	6.897672e+00	1.474286e+01	1.627666e+00
1.035000e+00	-2.803822e+00	-2.660795e+00	1.869804e+00	7.256789e+00	1.455127e+01	1.626039e+00
1.040000e+00	-2.766651e+00	-2.588536e+00	1.877930e+00	7.610651e+00	1.435096e+01	1.624414e+00
1.045000e+00	-2.727724e+00	-2.517300e+00	1.886048e+00	7.959046e+00	1.414208e+01	1.622790e+00
1.050000e+00	-2.687070e+00	-2.447129e+00	1.894158e+00	8.301768e+00	1.392478e+01	1.621168e+00
1.055000e+00	-2.644716e+00	-2.378066e+00	1.902259e+00	8.638614e+00	1.369920e+01	1.619548e+00
1.060000e+00	-2.600694e+00	-2.310151e+00	1.910353e+00	8.969385e+00	1.346550e+01	1.617929e+00
1.065000e+00	-2.555033e+00	-2.243424e+00	1.918439e+00	9.293886e+00	1.322385e+01	1.616312e+00
1.070000e+00	-2.507766e+00	-2.177925e+00	1.926516e+00	9.611927e+00	1.297441e+01	1.614697e+00
1.075000e+00	-2.458925e+00	-2.113693e+00	1.934586e+00	9.923322e+00	1.271736e+01	1.613083e+00
1.080000e+00	-2.408544e+00	-2.050764e+00	1.942647e+00	1.022789e+01	1.245287e+01	1.611471e+00
1.085000e+00	-2.356658e+00	-1.989176e+00	1.950700e+00	1.052545e+01	1.218112e+01	1.609860e+00
1.090000e+00	-2.303301e+00	-1.928964e+00	1.958746e+00	1.081584e+01	1.190230e+01	1.608251e+00
1.095000e+00	-2.248512e+00	-1.870164e+00	1.966783e+00	1.109888e+01	1.161659e+01	1.606643e+00
1.100000e+00	-2.192325e+00	-1.812810e+00	1.974812e+00	1.137442e+01	1.132419e+01	1.605038e+00
1.105000e+00	-2.134780e+00	-1.756933e+00	1.982833e+00	1.164229e+01	1.102529e+01	1.603433e+00
1.110000e+00	-2.075915e+00	-1.702567e+00	1.990846e+00	1.190235e+01	1.072009e+01	1.601831e+00
1.115000e+00	-2.015770e+00	-1.649743e+00	1.998852e+00	1.215444e+01	1.040880e+01	1.600230e+00
1.120000e+00	-1.954384e+00	-1.598489e+00	2.006849e+00	1.239843e+01	1.009162e+01	1.598630e+00
1.125000e+00	-1.891799e+00	-1.548836e+00	2.014838e+00	1.263418e+01	9.768764e+00	1.597032e+00
1.130000e+00	-1.828056e+00	-1.500811e+00	2.022819e+00	1.286156e+01	9.440445e+00	1.595436e+00
1.135000e+00	-1.763198e+00	-1.454440e+00	2.030792e+00	1.308044e+01	9.106878e+00	1.593842e+00
1.140000e+00	-1.697266e+00	-1.409750e+00	2.038757e+00	1.329070e+01	8.768282e+00	1.592249e+00
1.145000e+00	-1.630305e+00	-1.366765e+00	2.046715e+00	1.349223e+01	8.424880e+00	1.590657e+00
1.150000e+00	-1.562359e+00	-1.325509e+00	2.054664e+00	1.368493e+01	8.076896e+00	1.589067e+00
1.155000e+00	-1.493471e+00	-1.286004e+00	2.062605e+00	1.386868e+01	7.724556e+00	1.587479e+00
