###
# Charged Particle in Vertical Electric Field 
#-------- Runtime parameters ----#
# Solver used : backward euler
# Time step : 0.000100
#--------------------------------#
#    t      	     x      	     y      	     z      	     u      	     v      	     w      
###
5.400000e+00	1.468318e+00	-4.336418e+00	6.604026e+00	-1.975755e+00	-6.474304e+00	6.791947e-01
5.450000e+00	1.331018e+00	-4.642958e+00	6.637817e+00	-3.480993e+00	-5.726500e+00	6.724367e-01
5.500000e+00	1.124234e+00	-4.903375e+00	6.671271e+00	-4.741720e+00	-4.640494e+00	6.657458e-01
5.550000e+00	8.620928e-01	-5.102529e+00	6.704392e+00	-5.685064e+00	-3.289958e+00	6.591216e-01
5.600000e+00	5.618567e-01	-5.229360e+00	6.737184e+00	-6.259171e+00	-1.763411e+00	6.525632e-01
5.650000e+00	2.427926e-01	-5.277484e+00	6.769649e+00	-6.435977e+00	-1.584663e-01	6.460702e-01
5.700000e+00	-7.505423e-02	-5.245497e+00	6.801792e+00	-6.212475e+00	1.424371e+00	6.396417e-01
5.750000e+00	-3.721118e-01	-5.136963e+00	6.833614e+00	-5.610394e+00	2.887952e+00	6.332772e-01
5.800000e+00	-6.304785e-01	-4.960094e+00	6.865120e+00	-4.674375e+00	4.144412e+00	6.269760e-01
5.850000e+00	-8.349939e-01	-4.727151e+00	6.896312e+00	-3.468758e+00	5.120400e+00	6.207375e-01
5.900000e+00	-9.741185e-01	-4.453610e+00	6.927194e+00	-2.073229e+00	5.761314e+00	6.145611e-01
5.950000e+00	-1.040574e+00	-4.157142e+00	6.957769e+00	-5.775972e-01	6.034297e+00	6.084461e-01
6.000000e+00	-1.031706e+00	-3.856481e+00	6.988040e+00	9.239380e-01	5.929825e+00	6.023920e-01
6.050000e+00	-9.495575e-01	-3.570245e+00	7.018009e+00	2.338685e+00	5.461836e+00	5.963982e-01
6.100000e+00	-8.006491e-01	-3.315797e+00	7.047680e+00	3.581146e+00	4.666405e+00	5.904639e-01
6.150000e+00	-5.954873e-01	-3.108192e+00	7.077056e+00	4.578139e+00	3.599075e+00	5.845888e-01
6.200000e+00	-3.478383e-01	-2.959299e+00	7.106140e+00	5.273074e+00	2.331051e+00	5.787720e-01
6.250000e+00	-7.381419e-02	-2.877132e+00	7.134934e+00	5.629105e+00	9.444973e-01	5.730132e-01
6.300000e+00	2.091667e-01	-2.865431e+00	7.163442e+00	5.631013e+00	-4.727473e-01	5.673116e-01
6.350000e+00	4.834798e-01	-2.923518e+00	7.191666e+00	5.285715e+00	-1.832696e+00	5.616668e-01
6.400000e+00	7.323852e-01	-3.046426e+00	7.219609e+00	4.621395e+00	-3.052641e+00	5.560782e-01
6.450000e+00	9.410417e-01	-3.225289e+00	7.247274e+00	3.685347e+00	-4.060151e+00	5.505451e-01
6.500000e+00	1.097384e+00	-3.447969e+00	7.274664e+00	2.540679e+00	-4.797328e+00	5.450671e-01
6.550000e+00	1.192813e+00	-3.699866e+00	7.301782e+00	1.262107e+00	-5.224094e+00	5.396436e-01
6.600000e+00	1.222655e+00	-3.964870e+00	7.328629e+00	-6.888289e-02	-5.320302e+00	5.342741e-01
6.650000e+00	1.186373e+00	-4.226383e+00	7.355210e+00	-1.369189e+00	-5.086587e+00	5.289580e-01
6.700000e+00	1.087516e+00	-4.468350e+00	7.381526e+00	-2.559253e+00	-4.543911e+00	5.236948e-01
6.750000e+00	9.334233e-01	-4.676242e+00	7.407580e+00	-3.567894e+00	-3.731868e+00	5.184840e-01
6.800000e+00	7.346915e-01	-4.837918e+00	7.433375e+00	-4.336529e+00	-2.705874e+00	5.133250e-01
6.850000e+00	5.044597e-01	-4.944329e+00	7.458913e+00	-4.822538e+00	-1.533433e+00	5.082174e-01
6.900000e+00	2.575482e-01	-4.990012e+00	7.484197e+00	-5.001569e+00	-2.897388e-01	5.031606e-01
6.950000e+00	9.511117e-03	-4.973356e+00	7.509230e+00	-4.868683e+00	9.471156e-01	4.981541e-01
7.000000e+00	-2.243370e-01	-4.896627e+00	7.534013e+00	-4.438267e+00	2.101011e+00	4.931974e-01
7.050000e+00	-4.298606e-01	-4.765748e+00	7.558550e+00	-3.742768e+00	3.102453e+00	4.882900e-01
7.100000e+00	-5.949511e-01	-4.589864e+00	7.582843e+00	-2.830331e+00	3.892728e+00	4.834315e-01
7.150000e+00	-7.102332e-01	-4.380713e+00	7.606894e+00	-1.761519e+00	4.427309e+00	4.786213e-01
7.200000e+00	-7.695888e-01	-4.151850e+00	7.630705e+00	-6.053326e-01	4.678314e+00	4.738589e-01
7.250000e+00	-7.704694e-01	-3.917777e+00	7.654280e+00	5.652092e-01	4.635902e+00	4.691440e-01
7.300000e+00	-7.139819e-01	-3.693028e+00	7.677620e+00	1.677654e+00	4.308515e+00	4.644759e-01
7.350000e+00	-6.047487e-01	-3.491276e+00	7.700728e+00	2.664571e+00	3.721998e+00	4.598544e-01
7.400000e+00	-4.505518e-01	-3.324501e+00	7.723606e+00	3.467606e+00	2.917659e+00	4.552787e-01
7.450000e+00	-2.617910e-01	-3.202291e+00	7.746257e+00	4.040903e+00	1.949413e+00	4.507487e-01
7.500000e+00	-5.079064e-02	-3.131296e+00	7.768682e+00	4.353679e+00	8.802123e-01	4.462637e-01
7.550000e+00	1.689989e-01	-3.114875e+00	7.790884e+00	4.391826e+00	-2.220194e-01	4.418233e-01
7.600000e+00	3.838523e-01	-3.152957e+00	7.812865e+00	4.158445e+00	-1.288670e+00	4.374271e-01
7.650000e+00	5.806212e-01	-3.242111e+00	7.834627e+00	3.673320e+00	-2.254684e+00	4.330746e-01
7.700000e+00	7.475335e-01	-3.375827e+00	7.856172e+00	2.971359e+00	-3.062502e+00	4.287655e-01
7.750000e+00	8.748916e-01	-3.544975e+00	7.877504e+00	2.100147e+00	-3.665463e+00	4.244992e-01
7.800000e+00	9.556291e-01	-3.738423e+00	7.898623e+00	1.116760e+00	-4.030461e+00	4.202754e-01
7.850000e+00	9.856942e-01	-3.943761e+00	7.919532e+00	8.405398e-02	-4.139719e+00	4.160936e-01
7.900000e+00	9.642400e-01	-4.148095e+00	7.940233e+00	-9.333223e-01	-3.991581e+00	4.119535e-01
7.950000e+00	8.936123e-01	-4.338845e+00	7.960728e+00	-1.872949e+00	-3.600292e+00	4.078545e-01
8.000000e+00	7.791423e-01	-4.504522e+00	7.981019e+00	-2.678439e+00	-2.994807e+00	4.037963e-01
8.050000e+00	6.287583e-01	-4.635409e+00	8.001108e+00	-3.302797e+00	-2.216710e+00	3.997784e-01
8.100000e+00	4.524451e-01	-4.724127e+00	8.020997e+00	-3.711126e+00	-1.317400e+00	3.958006e-01
8.150000e+00	2.615881e-01	-4.766045e+00	8.040688e+00	-3.882543e+00	-3.547316e-01	3.918623e-01
8.200000e+00	6.824306e-02	-4.759507e+00	8.060184e+00	-3.811184e+00	6.106861e-01	3.879633e-01
8.250000e+00	-1.156204e-01	-4.705879e+00	8.079485e+00	-3.506272e+00	1.519278e+00	3.841030e-01
8.300000e+00	-2.788547e-01	-4.609403e+00	8.098594e+00	-2.991244e+00	2.316154e+00	3.802811e-01
8.350000e+00	-4.118059e-01	-4.476878e+00	8.117514e+00	-2.302027e+00	2.954405e+00	3.764973e-01
8.400000e+00	-5.068786e-01	-4.317190e+00	8.136245e+00	-1.484573e+00	3.397831e+00	3.727511e-01
8.450000e+00	-5.589636e-01	-4.140724e+00	8.154789e+00	-5.918269e-01	3.622963e+00	3.690422e-01
8.500000e+00	-5.657036e-01	-3.958693e+00	8.173149e+00	3.196749e-01	3.620257e+00	3.653702e-01
8.550000e+00	-5.275837e-01	-3.782431e+00	8.191327e+00	1.193363e+00	3.394404e+00	3.617347e-01
8.600000e+00	-4.478451e-01	-3.622689e+00	8.209323e+00	1.976123e+00	2.963763e+00	3.581354e-01
8.650000e+00	-3.322306e-01	-3.488989e+00	8.227141e+00	2.621502e+00	2.358951e+00	3.545719e-01
8.700000e+00	-1.885808e-01	-3.389056e+00	8.244781e+00	3.092439e+00	1.620715e+00	3.510439e-01
8.750000e+00	-2.630890e-02	-3.328380e+00	8.262245e+00	3.363363e+00	7.972205e-01	3.475509e-01
8.800000e+00	1.442106e-01	-3.309923e+00	8.279536e+00	3.421545e+00	-5.906836e-02	3.440928e-01
8.850000e+00	3.123008e-01	-3.333983e+00	8.296655e+00	3.267623e+00	-8.947074e-01	3.406690e-01
8.900000e+00	4.676468e-01	-3.398234e+00	8.313604e+00	2.915299e+00	-1.658587e+00	3.372793e-01
8.950000e+00	6.009242e-01	-3.497916e+00	8.330383e+00	2.390237e+00	-2.305038e+00	3.339233e-01
9.000000e+00	7.043542e-01	-3.626178e+00	8.346996e+00	1.728238e+00	-2.796535e+00	3.306008e-01
9.050000e+00	7.721531e-01	-3.774546e+00	8.363444e+00	9.728376e-01	-3.105856e+00	3.273112e-01
9.100000e+00	8.008485e-01	-3.933474e+00	8.379728e+00	1.724627e-01	-3.217548e+00	3.240545e-01
9.150000e+00	7.894480e-01	-4.092952e+00	8.395850e+00	-6.226476e-01	-3.128650e+00	3.208301e-01
9.200000e+00	7.394508e-01	-4.243137e+00	8.411811e+00	-1.363577e+00	-2.848626e+00	3.176378e-01
9.250000e+00	6.547060e-01	-4.374956e+00	8.427614e+00	-2.005721e+00	-2.398539e+00	3.144772e-01
9.300000e+00	5.411287e-01	-4.480645e+00	8.443259e+00	-2.511452e+00	-1.809514e+00	3.113482e-01
9.350000e+00	4.062938e-01	-4.554208e+00	8.458749e+00	-2.852299e+00	-1.120627e+00	3.082502e-01
9.400000e+00	2.589365e-01	-4.591747e+00	8.474085e+00	-3.010523e+00	-3.763331e-01	3.051831e-01
9.450000e+00	1.083907e-01	-4.591664e+00	8.489268e+00	-2.979997e+00	3.763795e-01	3.021465e-01
9.500000e+00	-3.599888e-02	-4.554710e+00	8.504300e+00	-2.766352e+00	1.090936e+00	2.991401e-01
9.550000e+00	-1.654523e-01	-4.483897e+00	8.519182e+00	-2.386396e+00	1.724041e+00	2.961636e-01
9.600000e+00	-2.722852e-01	-4.384263e+00	8.533916e+00	-1.866859e+00	2.238278e+00	2.932167e-01
9.650000e+00	-3.503601e-01	-4.262523e+00	8.548504e+00	-1.242544e+00	2.604305e+00	2.902992e-01
9.700000e+00	-3.954348e-01	-4.126622e+00	8.562947e+00	-5.540222e-01	2.802499e+00	2.874107e-01
9.750000e+00	-4.053858e-01	-3.985219e+00	8.577245e+00	1.549806e-01	2.823973e+00	2.845509e-01
9.800000e+00	-3.802972e-01	-3.847143e+00	8.591402e+00	8.403459e-01	2.670914e+00	2.817196e-01
9.850000e+00	-3.224117e-01	-3.720839e+00	8.605418e+00	1.460288e+00	2.356226e+00	2.789165e-01
9.900000e+00	-2.359496e-01	-3.613861e+00	8.619294e+00	1.977886e+00	1.902520e+00	2.761412e-01
9.950000e+00	-1.268092e-01	-3.532420e+00	8.633032e+00	2.363260e+00	1.340530e+00	2.733936e-01
